,source,target
4127,Cholangiocytes,KRT19
4128,Mammary epithelial cells,KRT19
4129,Ductal cells,KRT19
4130,Luminal epithelial cells,KRT19
4134,Enterocytes,KRT20
4146,Mammary epithelial cells,KRT5
4148,Keratinocytes,KRT5
4149,Basal cells,KRT5
4152,Ductal cells,KRT7
4156,Mammary epithelial cells,KRT7
4164,Mammary epithelial cells,KRT8
4166,Luminal epithelial cells,KRT8
4195,Basal cells,LAMB3
4206,Pulmonary alveolar type II cells,LAMP3
4218,T cells,LCK
4220,Luminal epithelial cells,LCN2
4224,Cholangiocytes,LCN2
4252,Acinar cells,LGALS2
4256,Macrophages,LGALS3
4258,Dendritic cells,LGALS3
4261,Cholangiocytes,LGALS4
4274,Leydig cells,LHCGR
4296,Plasmacytoid dendritic cells,LILRA4
4304,B cells naive,LINC00926
4321,Smooth muscle cells,LMOD1
4339,Pulmonary alveolar type II cells,LPCAT1
4348,Adipocytes,LRP1
4350,Proximal tubule cells,LRP2
4377,Dendritic cells,LST1
4384,B cells naive,LTB
4386,T cells,LTB
4402,Fibroblasts,LUM
4425,Neutrophils,LYZ
4430,Dendritic cells,MACROH2A1
4434,Macrophages,MAF
4437,Podocytes,MAFB
4438,Alpha cells,MAFB
4440,Beta cells,MAFB
4447,Oligodendrocytes,MAG
4452,Podocytes,MAGI2
4458,Enterocytes,MAOA
4464,Mesangial cells,MAP3K20
4466,Platelets,MAP3K7CL
4502,Oligodendrocytes,MBP
4508,Pericytes,MCAM
4528,Mesangial cells,MEF2C
4531,Neurons,MEG3
4533,Beta cells,MEG3
4559,Adipocytes,METRN
4561,Adipocytes,METRNL
4569,Pericytes,MFGE8
4578,Fibroblasts,MGP
4579,Pancreatic stellate cells,MGP
4580,Endothelial cells,MGP
4624,Fibroblasts,MMP2
4626,Adipocytes,MMP2
4636,Ductal cells,MMP7
4652,Oligodendrocytes,MOG
4661,Neutrophils,MPO
4678,Germ cells,MRPL14
4684,B cells naive,MS4A1
4690,Macrophages,MS4A4A
4695,Macrophages,MS4A7
4703,Mesothelial cells,MSLN
4707,Smooth muscle cells,MSRB3
4716,Adipocytes,MT2A
4721,Luminal epithelial cells,MUC1
4725,Pulmonary alveolar type II cells,MUC1
4726,Clara cells,MUC1
4727,Acinar cells,MUC1
4730,Goblet cells,MUC13
4739,Goblet cells,MUC2
4760,Monocytes,MX1
4780,Smooth muscle cells,MYH11
4802,Smooth muscle cells,MYL9
4804,Myoepithelial cells,MYL9
4805,Hepatic stellate cells,MYL9
4806,Mesangial cells,MYL9
4807,Peritubular myoid cells,MYL9
4811,Smooth muscle cells,MYLK
4814,Myoepithelial cells,MYLK
4820,Adipocytes,MYO1C
4828,Neurons,MYO5A
4839,Oligodendrocytes,MYRF
4840,Plasmacytoid dendritic cells,MZB1
4842,Plasma cells,MZB1
4856,Pulmonary alveolar type II cells,NAPSA
4876,Platelets,NCOA4
4901,Neurons,NEFM
4915,Gamma (PP) cells,NEUROD1
4919,Alpha cells,NEUROD1
4920,Beta cells,NEUROD1
4964,Endothelial cells,NHERF2
4969,Plasmacytoid dendritic cells,NIBAN3
4984,Gamma delta T cells,NKG7
4986,NK cells,NKG7
4989,Pulmonary alveolar type II cells,NKX2-1
4994,Beta cells,NKX2-2
5002,Beta cells,NKX6-1
5054,Smooth muscle cells,NOTCH3
5058,Pericytes,NOTCH3
5069,Podocytes,NPHS1
5070,Podocytes,NPHS2
5087,Beta cells,NPTX2
5097,Adipocytes,NQO1
5128,Germ cells,NR6A1
5137,Platelets,NRGN
5151,Macrophages,NRP2
5207,Monocytes,OAS1
5215,Germ cells,ODF2
5221,Acinar cells,OLFM4
5231,Oligodendrocyte progenitor cells,OLIG1
5253,Hepatocytes,ORM1
5267,Platelets,OST4
5466,Beta cells,PAX6
5484,Endothelial cells,PCAT19
5495,Proximal tubule cells,PCK1
5513,Beta cells,PCSK1
5515,Delta cells,PCSK1
5519,Beta cells,PCSK2
5520,Alpha cells,PCSK2
5564,Oligodendrocyte progenitor cells,PDGFRA
5567,Mesangial cells,PDGFRB
5570,Pericytes,PDGFRB
5589,Beta cells,PDX1
5594,Proximal tubule cells,PDZK1
5595,Acinar cells,PDZK1IP1
5600,Endothelial cells,PECAM1
5609,Alpha cells,PEMT
5619,Ductal cells,PERP
5620,Oligodendrocytes,PEX5L
5622,Platelets,PF4
5631,Pulmonary alveolar type II cells,PGC
5633,Germ cells,PGK2
5648,Goblet cells,PHGR1
5667,Cholangiocytes,PIGR
5669,Pulmonary alveolar type II cells,PIGR
5711,Acinar cells,PLA2G1B
5755,Oligodendrocytes,PLLP
5757,Smooth muscle cells,PLN
5758,Podocytes,PLOD2
5759,Oligodendrocytes,PLP1
5762,Monocytes,PLSCR1
5774,Astrocytes,PLXNB1
5785,Neurons,PNISR
5786,Acinar cells,PNLIP
5806,Podocytes,PODXL
5845,Enterocytes,PPARG
5852,Platelets,PPBP
5854,Platelets,PPDPF
5872,Gamma (PP) cells,PPY
5887,Gamma delta T cells,PRF1
5924,Germ cells,PRM1
5926,Germ cells,PRM2
5963,Acinar cells,PRSS1
5966,Acinar cells,PRSS2
5969,Acinar cells,PRSS3
5973,Neutrophils,PRTN3
5978,Monocytes,PSAP
5990,Plasmacytoid dendritic cells,PTCRA
5995,Leydig cells,PTGDS
6003,Oligodendrocytes,PTGDS
6019,Loop of Henle cells,PTGS2
6025,Podocytes,PTH1R
6032,Mesangial cells,PTN
6041,T memory cells,PTPRC
6043,Dendritic cells,PTPRC
6044,Monocytes,PTPRC
6054,Podocytes,PTPRO
6236,Acinar cells,RARRES2
6271,Delta cells,RBP4
6273,Macrophages,RBPJ
6285,Acinar cells,REG1A
6286,Acinar cells,REG1B
6287,Acinar cells,REG3A
6321,Mast cells,RGS13
6331,Platelets,RGS18
6379,Acinar cells,RNASE1
6380,Endothelial cells,RNASE1
6410,Mesangial cells,ROCK1
6433,Germ cells,RSBN1L
6437,Mesothelial cells,RSPO1
6462,Endothelial cells,S100A10
6463,Ductal cells,S100A10
6465,Endothelial cells,S100A13
6467,Keratinocytes,S100A14
6469,NK cells,S100A4
6470,T cells,S100A4
6471,Macrophages,S100A4
6472,Fibroblasts,S100A4
6474,Dendritic cells,S100A4
6476,Neutrophils,S100A4
6493,Neutrophils,S100A8
6495,Monocytes,S100A9
6496,Dendritic cells,S100A9
6505,Astrocytes,S100B
6506,Enteric glia cells,S100B
6551,Clara cells,SCGB1A1
6555,Beta cells,SCGB2A1
6556,Gamma (PP) cells,SCGB2A1
6557,Alpha cells,SCGB2A1
6558,Clara cells,SCGB3A1
6561,Clara cells,SCGB3A2
6562,Enteroendocrine cells,SCGN
6563,Alpha cells,SCGN
6564,Gamma (PP) cells,SCGN
6565,Delta cells,SCGN
6566,Beta cells,SCGN
6612,Plasma cells,SDC1
6635,B cells naive,SELL
6653,Oligodendrocytes,SEMA4D
6667,Hepatocytes,SERPINA1
6674,Neutrophils,SERPINB1
6676,Luminal epithelial cells,SERPINB3
6687,Plasmacytoid dendritic cells,SERPINF1
6690,Proximal tubule cells,SERPINF2
6694,Fibroblasts,SERPINH1
6703,Pancreatic stellate cells,SFRP2
6709,Pulmonary alveolar type II cells,SFTA2
6710,Clara cells,SFTPA1
6711,Pulmonary alveolar type II cells,SFTPA1
6713,Pulmonary alveolar type II cells,SFTPB
6714,Pulmonary alveolar type II cells,SFTPC
6715,Clara cells,SFTPC
6717,Pulmonary alveolar type II cells,SFTPD
6733,Mesangial cells,SH3BGRL
6823,Neurons,SLC12A5
6826,Proximal tubule cells,SLC13A1
6851,Retinal ganglion cells,SLC17A6
6879,Astrocytes,SLC1A2
6882,Astrocytes,SLC1A3
6911,Erythroid-like and erythroid precursor cells,SLC25A37
6923,Enterocytes,SLC26A3
6950,Beta cells,SLC30A8
6951,Alpha cells,SLC30A8
6960,Proximal tubule cells,SLC34A1
6961,Pulmonary alveolar type II cells,SLC34A2
6979,Enterocytes,SLC39A5
6999,Proximal tubule cells,SLC4A4
7003,Enterocytes,SLC51B
7013,Proximal tubule cells,SLC5A8
7017,Astrocytes,SLC6A11
7060,Luminal epithelial cells,SLPI
7061,Ductal cells,SLPI
7082,Germ cells,SMCP
7086,Alpha cells,SMIM24
7094,Leydig cells,SMOC2
7101,Neurons,SNAP25
7104,Erythroid-like and erythroid precursor cells,SNCA
7107,Smooth muscle cells,SNCG
7126,Smooth muscle cells,SOD3
7181,Pancreatic stellate cells,SPARC
7182,Endothelial cells,SPARC
7183,Platelets,SPARC
7184,Fibroblasts,SPARC
7185,Hepatic stellate cells,SPARC
7186,Endothelial cells,SPARCL1
7216,Acinar cells,SPINK1
7220,Goblet cells,SPINK4
7233,Gamma delta T cells,SPON2
7234,Fibroblasts,SPON2
7259,Podocytes,SRGAP1
7262,Endothelial cells,SRGN
7263,Platelets,SRGN
7271,Plasma cells,SSR4
7273,Delta cells,SST
7276,Enteroendocrine cells,SST
7282,Oligodendrocytes,ST18
7305,Fibroblasts,STAT3
7307,Adipocytes,STAT6
7321,Neurons,STMN2
7359,Acinar cells,SYCN
7369,Astrocytes,SYNE1
7373,Podocytes,SYNPO
7384,Beta cells,SYT13
7404,Ductal cells,TACSTD2
7464,Podocytes,TCF21
7466,Plasmacytoid dendritic cells,TCF4
7475,B cells naive,TCL1A
7503,Oligodendrocytes,TF
7511,Adipocytes,TFE3
7521,Goblet cells,TFF3
7524,Cholangiocytes,TFF3
7541,Endothelial cells,TGFBR2
7560,Loop of Henle cells,THBS1
7572,Podocytes,THSD7A
7574,Pancreatic stellate cells,THY1
7588,Endothelial cells,TIMP3
7589,Pancreatic stellate cells,TIMP3
7628,Endothelial cells,TM4SF1
7632,Alpha cells,TM4SF4
7682,Oligodendrocytes,TMEM63A
7703,Pancreatic stellate cells,TNFAIP6
7714,B cells naive,TNFRSF13C
7717,Plasma cells,TNFRSF17
7733,Luminal epithelial cells,TNFSF10
7755,Germ cells,TNP1
